# REQ-128 Phase 1 capability evidence matrix. Package fixtures are deterministic and constructed.
# scope_note current-host-sibling-key-tolerance: cut — 无真实用户,不做向后兼容(owner 直令 2026-07-31)
# fixture_boundary: the signed bundled Catalog has no packages key; a real package load is deferred → alpha-web#108.
phase1_item	producer_fixture	consumer_entrypoint	expected_verdict	reason_code	evidence_gate_file	evidence_test_name
producer-to-signed-catalog	host schema-reachable behavior	host capability derivation	pinned	host-capability-vocabulary	packages/ui-mac/src/shared/host-extension-package-contract/host-extension-package-artifact.test.ts	every schema-reachable behavior derives exactly the registered capability vocabulary
producer-to-signed-catalog	host artifact copy	host generator check	pinned	host-artifact-drift-refused	packages/ui-mac/src/shared/host-extension-package-contract/host-extension-package-artifact.test.ts	generator --check is clean and detects a copied artifact drift
producer-to-signed-catalog	bundled signed Catalog without packages	package-installability production wiring	deferred	deferred-alpha-web-108	packages/ui-mac/src/main/package-installability.wiring.test.ts	the real bundled Catalog has no package instance; this gate marks its constructed reachability
current-host-sibling-key-tolerance	Catalog with sibling packages array	current shallow Catalog reader	accepted	cut-owner-directed-current-host-only	packages/ui-mac/src/shared/host-extension-package-contract/catalog-package-legacy-compat.test.ts	non-empty entries remain valid when a sibling packages array is added
foundation-host-gate-order	four canonical profile payloads	decodePackageProfilePayloadV1	accepted	package-compatible	packages/ui-mac/src/shared/host-extension-package-contract/package-envelope-v1.test.ts	every accepted corpus package decodes, plans, and resolves secrets exactly once per component
foundation-host-gate-order	agent invalid-shape and traversal negatives	runSyntheticPackageDecoderV1	blocked	agent-negative-shape-and-traversal	packages/ui-mac/src/shared/host-extension-package-contract/package-envelope-v1.test.ts	every profile and every remote auth mode carries at least one negative case
foundation-host-gate-order	unsupported support-axis mutations	runCatalogInstallWithPackagePreflight	update-required	package-host-update-required|package-invalid	packages/ui-mac/src/main/package-installability.test.ts	%s returns before payload fetch/decoder/secret/planner
safe-view-and-reevaluation	constructed signed package	refresh browse detail install preflight	compatible	shared-evaluator-reference	packages/ui-mac/src/main/package-installability.wiring.test.ts	refresh, browse, detail, and install preflight use the same evaluator reference
safe-view-and-reevaluation	registered IPC package result	browse and detail IPC	compatible	safe-view-key-whitelist	packages/ui-mac/src/main/package-installability.wiring.test.ts	actual registered IPC handlers return only the safe-view key whitelist
safe-view-and-reevaluation	renderer-tampered package view	install preflight	blocked	main-reloads-signed-facts	packages/ui-mac/src/main/package-installability.wiring.test.ts	renderer tampering is refused and main reloads signed facts before re-evaluation
safe-view-and-reevaluation	signed secret-bearing package	evaluatePackageForHost	compatible	package-prerequisite-required	packages/ui-mac/src/main/package-installability.test.ts	projects required secret summaries without exposing their signed injection targets
safe-view-and-reevaluation	unsupported-profile package presentation	evaluatePackageForHost	update-required	package-host-update-required|package-invalid	packages/ui-mac/src/main/package-installability.test.ts	update-required safe view preserves the decoded package presentation
safe-view-and-reevaluation	all package reason codes	packageActionForReason	mapped	reason-action-exhaustive	packages/ui-mac/src/main/package-installability.test.ts	reason/action table is exhaustive and never installs a non-compatible reason
safe-view-and-reevaluation	signed snapshot package	refreshRemoteCatalog	compatible	remote-refresh-safe-view	packages/ui-mac/src/main/remote-catalog.test.ts	REQ-128:真 refreshRemoteCatalog 会评估已签快照里的 package 并投影 safe view
safe-view-and-reevaluation	invalid package candidate with healthy LKG	refreshRemoteCatalog	blocked	candidate-rejected-before-lkg	packages/ui-mac/src/main/remote-catalog.test.ts	REQ-128:生产调用点必须传 package 消费门 —— 坏候选拒在落 LKG 之前,健康 LKG 继续服务
safe-view-and-reevaluation	invalid package prelude candidate	coherent Catalog channel refresh	blocked	package-prelude-before-lkg	packages/ui-mac/src/main/catalog-channels.test.ts	package prelude 消费门在落 LKG 前拒新快照,也不采信历史坏 LKG
secret-prerequisite-lifecycle	secret prompt cancellation	resolvePackageSecretPrerequisitesV1	blocked	secret-cancelled	packages/ui-mac/src/shared/package-secret-prerequisite.test.ts	cancel fails closed without a reference or value echo
secret-prerequisite-lifecycle	missing and empty secret values	resolvePackageSecretPrerequisitesV1	required-action	package-prerequisite-required	packages/ui-mac/src/shared/package-secret-prerequisite.test.ts	missing and empty values require action
secret-prerequisite-lifecycle	ready secret submission	resolvePackageSecretPrerequisitesV1	ready	package-compatible	packages/ui-mac/src/shared/package-secret-prerequisite.test.ts	ready submission result carries IDs and status only
secret-prerequisite-lifecycle	missing reference or secret file	resolvePackageSecretPrerequisitesV1	blocked	package-prerequisite-invalid	packages/ui-mac/src/shared/package-secret-prerequisite.test.ts	missing reference and missing file both fail closed
secret-prerequisite-lifecycle	replaced secret reference	resolvePackageSecretPrerequisitesV1	blocked	package-prerequisite-invalid	packages/ui-mac/src/shared/package-secret-prerequisite.test.ts	stale reference fails closed after replacement
secret-prerequisite-lifecycle	uninstalled secret with old file	resolvePackageSecretPrerequisitesV1	blocked	package-prerequisite-invalid	packages/ui-mac/src/shared/package-secret-prerequisite.test.ts	uninstall status fails closed even if an old file remains
secret-prerequisite-lifecycle	append-only secret store lifecycle	package secret store	ready	ready-replacement-uninstall	packages/ui-mac/src/shared/package-secret-prerequisite.test.ts	existing store supports ready, replacement, and strict uninstall without plaintext records
secret-prerequisite-lifecycle	secret canary through real catalog install IPC	ext-install-catalog result	redacted	secret-zero-truth-echo	packages/ui-mac/src/main/ext-write-channels.test.ts	真实 catalog MCP 写通道结果只公开状态且不回显提交的 secret canary
secret-prerequisite-lifecycle	prepared secret write failure	package admission coordinator	blocked	prepared-secret-cleanup	packages/ui-mac/src/main/package-admission.test.ts	prepared secret failures abort and remove every unreferenced version
single-component-admission	digest-bound package intent	production ext-install-catalog	installed	digest-bound-transaction	packages/ui-mac/src/main/package-admission.wiring.test.ts	production ext-install-catalog runs digest-bound package admission through the real transaction
single-component-admission	signed Catalog secret prerequisite	production secret store	installed	signed-prerequisite-persisted	packages/ui-mac/src/main/package-admission.wiring.test.ts	signed Catalog snapshot carries the Envelope prerequisite into the real secret store
single-component-admission	admission negative corpus	production admission wiring	blocked	admission-gates-active	packages/ui-mac/src/main/package-admission.wiring.test.ts	admission decoder, secret failure, MCP adoption, tamper, cancel, stale, replay, graph-digest, and signed-Bundle gates remain active
single-component-admission	signed secret prerequisite	actual transaction	installed	restricted-version-write	packages/ui-mac/src/main/package-admission.test.ts	actual transaction writes the signed secret prerequisite into the restricted version directory
single-component-admission	cancel tamper stale replay corpus	package admission coordinator	blocked	zero-admission-side-effects	packages/ui-mac/src/main/package-admission.test.ts	cancel, binding tamper, stale revalidation, and replay have zero transaction or secret side effects
single-component-admission	prepared secret write failure	package admission coordinator	blocked	prepared-secret-cleanup	packages/ui-mac/src/main/package-admission.test.ts	prepared secret failures abort and remove every unreferenced version
single-component-admission	handwritten MCP configuration	package admission coordinator	blocked	handwritten-mcp-not-adopted	packages/ui-mac/src/main/package-admission.test.ts	preexisting and lock-raced handwritten MCP config is never adopted or overwritten
user-reachable-install-path	package card and detail production fixture	ExtensionHub and ExtensionDetail	installed	production-renderer-roundtrip	packages/ui-mac/src/renderer/extensions/ext-package-detail-wiring.test.ts	package safe view and admission traverse the production ExtensionHub card and ExtensionDetail paths
user-reachable-install-path	all legal package view states	renderer presentation mapping	mapped	presentation-combination-exhaustive	packages/ui-mac/src/renderer/extensions/ext-package-presentation.test.ts	exhausts every legal verdict/action/reason/prerequisite combination
user-reachable-install-path	package presentation dictionary	renderer English and Chinese copy	mapped	presentation-copy-nonempty	packages/ui-mac/src/renderer/extensions/ext-package-presentation.test.ts	every presentation key has non-empty local English and Chinese copy
user-reachable-install-path	static package visual harness	renderer Chinese dictionary	mapped	visual-copy-aligned	packages/ui-mac/src/renderer/extensions/ext-package-presentation.test.ts	the static visual harness Chinese copy stays aligned with the renderer dictionary
